ConsumptionID,Region,RecordDate,Sector,EnergyConsumedMWh,PeakLoadMW
1,North,2018-01-01,Residential,3576.446,230.51
2,North,2018-01-01,Industrial,1008.146,85.41
3,North,2018-01-01,Commercial,875.615,49.07
4,North,2018-01-01,Agricultural,1455.929,107.08
5,North,2018-01-02,Residential,3558.359,265.37
6,North,2018-01-02,Industrial,709.043,72.08
7,North,2018-01-02,Commercial,1645.156,160.31
8,North,2018-01-02,Agricultural,509.524,32.75
9,North,2018-01-03,Residential,3820.694,294.63
10,North,2018-01-03,Industrial,600.623,35.84
11,North,2018-01-03,Commercial,2652.851,263.78
12,North,2018-01-03,Agricultural,53.238,5.17
13,North,2018-01-04,Residential,3041.301,201.23
14,North,2018-01-04,Industrial,1499.969,126.91
15,North,2018-01-04,Commercial,2009.504,166.76
16,North,2018-01-04,Agricultural,394.023,22.96
17,North,2018-01-05,Residential,2593.806,236.82
18,North,2018-01-05,Industrial,837.796,66.37
19,North,2018-01-05,Commercial,762.198,70.26
20,North,2018-01-05,Agricultural,1965.063,154.7
21,North,2018-01-06,Residential,2029.793,101.55
22,North,2018-01-06,Industrial,1368.536,92.46
23,North,2018-01-06,Commercial,3002.818,153.31
24,North,2018-01-06,Agricultural,165.542,16.61
25,North,2018-01-07,Residential,3990.441,389.46
26,North,2018-01-07,Industrial,172.53,16.4
27,North,2018-01-07,Commercial,1579.839,105.31
28,North,2018-01-07,Agricultural,597.755,31.76
29,North,2018-01-08,Residential,4502.754,439.28
30,North,2018-01-08,Industrial,1079.212,109.32
31,North,2018-01-08,Commercial,463.63,25.33
32,North,2018-01-08,Agricultural,1371.462,104.68
33,North,2018-01-09,Residential,3395.06,182.48
34,North,2018-01-09,Industrial,682.221,62.22
35,North,2018-01-09,Commercial,2369.426,216.76
36,North,2018-01-09,Agricultural,161.443,9.19
37,North,2018-01-10,Residential,1497.373,113.42
38,North,2018-01-10,Industrial,1571.041,125.34
39,North,2018-01-10,Commercial,3075.98,197.96
40,North,2018-01-10,Agricultural,1093.545,106.35
41,North,2018-01-11,Residential,2380.163,173.56
42,North,2018-01-11,Industrial,2755.763,169.4
43,North,2018-01-11,Commercial,920.496,72.91
44,North,2018-01-11,Agricultural,120.956,10.83
45,North,2018-01-12,Residential,2275.442,138.56
46,North,2018-01-12,Industrial,3156.326,211.11
47,North,2018-01-12,Commercial,1039.192,107.98
48,North,2018-01-12,Agricultural,944.696,80.49
49,North,2018-01-13,Residential,2422.341,178.6
50,North,2018-01-13,Industrial,4149.328,323.79
51,North,2018-01-13,Commercial,1035.114,58.54
52,North,2018-01-13,Agricultural,56.161,3.49
53,North,2018-01-14,Residential,4591.529,313.66
54,North,2018-01-14,Industrial,532.518,43.6
55,North,2018-01-14,Commercial,61.536,3.84
56,North,2018-01-14,Agricultural,415.611,25.74
57,North,2018-01-15,Residential,3315.176,178.51
58,North,2018-01-15,Industrial,2419.83,203.71
59,North,2018-01-15,Commercial,698.459,43.58
60,North,2018-01-15,Agricultural,276.321,27.37
61,North,2018-01-16,Residential,2348.251,226.76
62,North,2018-01-16,Industrial,782.417,42.12
63,North,2018-01-16,Commercial,2542.405,159.9
64,North,2018-01-16,Agricultural,549.083,47.35
65,North,2018-01-17,Residential,1767.412,108.88
66,North,2018-01-17,Industrial,2444.76,139.76
67,North,2018-01-17,Commercial,724.756,72.96
68,North,2018-01-17,Agricultural,1689.555,136.74
69,North,2018-01-18,Residential,1698.059,128.38
70,North,2018-01-18,Industrial,3316.653,306.79
71,North,2018-01-18,Commercial,358.348,33.59
72,North,2018-01-18,Agricultural,919.16,55.44
73,North,2018-01-19,Residential,1624.798,89.77
74,North,2018-01-19,Industrial,2133.549,156.49
75,North,2018-01-19,Commercial,1728.094,126.05
76,North,2018-01-19,Agricultural,1534.052,115.51
77,North,2018-01-20,Residential,3792.706,339.42
78,North,2018-01-20,Industrial,2048.974,177.18
79,North,2018-01-20,Commercial,518.664,53.58
80,North,2018-01-20,Agricultural,592.19,32.77
81,North,2018-01-21,Residential,3802.681,273.07
82,North,2018-01-21,Industrial,1038.472,71.01
83,North,2018-01-21,Commercial,1307.348,126.39
84,North,2018-01-21,Agricultural,611.746,38.83
85,North,2018-01-22,Residential,2020.184,121.82
86,North,2018-01-22,Industrial,4290.078,318.75
87,North,2018-01-22,Commercial,792.443,57.73
88,North,2018-01-22,Agricultural,290.549,18.91
89,North,2018-01-23,Residential,367.7,23.36
90,North,2018-01-23,Industrial,4178.624,417.91
91,North,2018-01-23,Commercial,1467.705,108.61
92,North,2018-01-23,Agricultural,917.605,88.69
93,North,2018-01-24,Residential,2628.557,209.78
94,North,2018-01-24,Industrial,3065.379,161.67
95,North,2018-01-24,Commercial,969.778,100.98
96,North,2018-01-24,Agricultural,89.458,8.52
97,North,2018-01-25,Residential,4567.441,468.1
98,North,2018-01-25,Industrial,1422.93,142.55
99,North,2018-01-25,Commercial,741.974,71.21
100,North,2018-01-25,Agricultural,601.928,35.52
101,North,2018-01-26,Residential,545.983,41.66
102,North,2018-01-26,Industrial,4589.527,282.61
103,North,2018-01-26,Commercial,453.125,32.5
104,North,2018-01-26,Agricultural,1177.506,62.62
105,North,2018-01-27,Residential,1741.203,122.8
106,North,2018-01-27,Industrial,2984.198,308.48
107,North,2018-01-27,Commercial,1778.867,114.5
108,North,2018-01-27,Agricultural,406.281,37.57
109,North,2018-01-28,Residential,4163.228,310.77
110,North,2018-01-28,Industrial,2735.598,199.46
111,North,2018-01-28,Commercial,1163.9,118.55
112,North,2018-01-28,Agricultural,12.387,1.29
113,North,2018-01-29,Residential,640.912,51.34
114,North,2018-01-29,Industrial,2152.78,191.41
115,North,2018-01-29,Commercial,3307.589,193.11
116,North,2018-01-29,Agricultural,799.449,52.82
117,North,2018-01-30,Residential,1910.664,195.79
118,North,2018-01-30,Industrial,3296.962,268.28
119,North,2018-01-30,Commercial,1833.252,145.5
120,North,2018-01-30,Agricultural,572.188,51.79
121,North,2018-01-31,Residential,4206.789,223.37
122,North,2018-01-31,Industrial,1219.459,99.56
123,North,2018-01-31,Commercial,757.007,58.47
124,North,2018-01-31,Agricultural,273.927,26.35
125,North,2018-02-01,Residential,3072.511,179.83
126,North,2018-02-01,Industrial,1619.468,165.25
127,North,2018-02-01,Commercial,907.301,49.3
128,North,2018-02-01,Agricultural,933.813,56.09
129,North,2018-02-02,Residential,2583.006,212.4
130,North,2018-02-02,Industrial,1710.242,148.06
131,North,2018-02-02,Commercial,2671.643,167.62
132,North,2018-02-02,Agricultural,419.895,23.72
133,North,2018-02-03,Residential,2150.886,211.27
134,North,2018-02-03,Industrial,701.294,44.42
