ProductionID,PlantID,Region,RecordDate,EnergyGeneratedMWh,DowntimeHours,EfficiencyPct,CO2SavedTons
1,1,Coastal,2018-01-01,352.907,0.0,55.48,176.454
2,1,Coastal,2018-01-02,738.126,0.0,65.48,369.063
3,1,Coastal,2018-01-03,484.358,0.0,58.48,242.179
4,1,Coastal,2018-01-04,835.887,0.0,65.6,417.944
5,1,Coastal,2018-01-05,706.119,0.0,65.68,353.06
6,1,Coastal,2018-01-06,677.24,0.0,65.87,338.62
7,1,Coastal,2018-01-07,277.019,0.0,55.29,138.51
8,1,Coastal,2018-01-08,614.932,0.0,59.27,307.466
9,1,Coastal,2018-01-09,276.863,0.0,61.24,138.432
10,1,Coastal,2018-01-10,590.915,0.0,59.52,295.458
11,1,Coastal,2018-01-11,564.054,0.0,57.67,282.027
12,1,Coastal,2018-01-12,555.886,0.0,58.65,277.943
13,1,Coastal,2018-01-13,721.212,0.0,64.83,360.606
14,1,Coastal,2018-01-14,476.458,0.0,61.96,238.229
15,1,Coastal,2018-01-15,587.689,0.0,56.87,293.844
16,1,Coastal,2018-01-16,495.405,0.0,58.67,247.702
17,1,Coastal,2018-01-17,640.817,0.0,62.95,320.408
18,1,Coastal,2018-01-18,701.573,0.0,59.33,350.786
19,1,Coastal,2018-01-19,630.437,0.0,63.23,315.218
20,1,Coastal,2018-01-20,649.852,0.0,64.19,324.926
21,1,Coastal,2018-01-21,705.785,0.0,66.62,352.892
22,1,Coastal,2018-01-22,697.11,0.0,62.76,348.555
23,1,Coastal,2018-01-23,650.267,0.0,64.04,325.134
24,1,Coastal,2018-01-24,881.208,0.0,68.27,440.604
25,1,Coastal,2018-01-25,739.579,0.0,68.01,369.79
26,1,Coastal,2018-01-26,797.265,0.0,66.58,398.632
27,1,Coastal,2018-01-27,669.151,0.0,59.31,334.576
28,1,Coastal,2018-01-28,708.86,0.0,60.2,354.43
29,1,Coastal,2018-01-29,860.579,0.0,63.93,430.29
30,1,Coastal,2018-01-30,751.837,0.0,58.95,375.918
31,1,Coastal,2018-01-31,610.896,0.0,58.03,305.448
32,1,Coastal,2018-02-01,697.596,0.0,70.88,348.798
33,1,Coastal,2018-02-02,129.713,19.97,63.2,64.856
34,1,Coastal,2018-02-03,680.019,0.0,54.76,340.01
35,1,Coastal,2018-02-04,658.455,0.0,61.93,329.228
36,1,Coastal,2018-02-05,515.477,0.0,59.07,257.738
37,1,Coastal,2018-02-06,770.647,0.0,65.95,385.324
38,1,Coastal,2018-02-07,800.656,0.0,66.83,400.328
39,1,Coastal,2018-02-08,581.906,0.0,63.96,290.953
40,1,Coastal,2018-02-09,843.278,0.0,59.59,421.639
41,1,Coastal,2018-02-10,899.309,0.0,67.7,449.654
42,1,Coastal,2018-02-11,809.306,0.0,63.94,404.653
43,1,Coastal,2018-02-12,958.81,0.0,64.22,479.405
44,1,Coastal,2018-02-13,764.357,0.0,61.24,382.178
45,1,Coastal,2018-02-14,781.565,0.0,64.32,390.782
46,1,Coastal,2018-02-15,717.267,0.0,66.51,358.634
47,1,Coastal,2018-02-16,717.416,0.0,66.01,358.708
48,1,Coastal,2018-02-17,1049.805,0.0,71.4,524.902
49,1,Coastal,2018-02-18,680.293,0.0,63.31,340.146
50,1,Coastal,2018-02-19,393.67,0.0,59.24,196.835
51,1,Coastal,2018-02-20,762.069,0.0,63.53,381.034
52,1,Coastal,2018-02-21,706.848,0.0,67.95,353.424
53,1,Coastal,2018-02-22,730.483,0.0,68.39,365.242
54,1,Coastal,2018-02-23,847.195,0.0,68.31,423.598
55,1,Coastal,2018-02-24,856.007,0.0,61.45,428.004
56,1,Coastal,2018-02-25,649.571,0.0,58.39,324.786
57,1,Coastal,2018-02-26,702.366,0.0,64.98,351.183
58,1,Coastal,2018-02-27,640.494,0.0,59.53,320.247
59,1,Coastal,2018-02-28,798.982,0.0,65.22,399.491
60,1,Coastal,2018-03-01,676.173,0.0,59.93,338.086
61,1,Coastal,2018-03-02,736.655,0.0,63.82,368.328
62,1,Coastal,2018-03-03,993.686,0.0,65.36,496.843
63,1,Coastal,2018-03-04,856.44,0.0,65.11,428.22
64,1,Coastal,2018-03-05,584.884,0.0,60.97,292.442
65,1,Coastal,2018-03-06,305.551,13.48,62.17,152.776
66,1,Coastal,2018-03-07,971.746,0.0,64.35,485.873
67,1,Coastal,2018-03-08,723.177,0.0,64.08,361.588
68,1,Coastal,2018-03-09,790.854,0.0,62.63,395.427
69,1,Coastal,2018-03-10,770.582,0.0,65.0,385.291
70,1,Coastal,2018-03-11,352.668,14.16,63.29,176.334
71,1,Coastal,2018-03-12,874.375,0.0,67.82,437.188
72,1,Coastal,2018-03-13,797.71,0.0,64.87,398.855
73,1,Coastal,2018-03-14,1195.385,0.0,73.0,597.692
74,1,Coastal,2018-03-15,950.452,0.0,67.35,475.226
75,1,Coastal,2018-03-16,922.243,0.0,67.0,461.122
76,1,Coastal,2018-03-17,1195.736,0.0,72.26,597.868
77,1,Coastal,2018-03-18,1080.314,0.0,70.69,540.157
78,1,Coastal,2018-03-19,896.573,0.0,68.81,448.286
79,1,Coastal,2018-03-20,774.965,0.0,64.74,387.482
80,1,Coastal,2018-03-21,831.857,0.0,61.41,415.928
81,1,Coastal,2018-03-22,1045.975,0.0,69.33,522.987
82,1,Coastal,2018-03-23,1285.763,0.0,75.9,642.882
83,1,Coastal,2018-03-24,967.764,0.0,61.74,483.882
84,1,Coastal,2018-03-25,842.576,0.0,57.27,421.288
85,1,Coastal,2018-03-26,883.732,0.0,60.47,441.866
86,1,Coastal,2018-03-27,861.029,0.0,66.23,430.514
87,1,Coastal,2018-03-28,862.783,0.0,67.52,431.392
88,1,Coastal,2018-03-29,976.498,0.0,68.75,488.249
89,1,Coastal,2018-03-30,978.348,0.0,65.89,489.174
90,1,Coastal,2018-03-31,1042.686,0.0,74.2,521.343
91,1,Coastal,2018-04-01,1154.07,0.0,69.42,577.035
92,1,Coastal,2018-04-02,1104.973,0.0,66.3,552.486
93,1,Coastal,2018-04-03,953.713,0.0,66.3,476.856
94,1,Coastal,2018-04-04,899.112,0.0,67.18,449.556
95,1,Coastal,2018-04-05,856.49,0.0,68.17,428.245
96,1,Coastal,2018-04-06,1027.905,0.0,66.84,513.952
97,1,Coastal,2018-04-07,905.867,0.0,63.46,452.934
98,1,Coastal,2018-04-08,1061.026,0.0,69.6,530.513
99,1,Coastal,2018-04-09,842.749,0.0,68.48,421.374
100,1,Coastal,2018-04-10,854.819,0.0,66.28,427.41
101,1,Coastal,2018-04-11,905.404,0.0,69.61,452.702
102,1,Coastal,2018-04-12,807.14,0.0,65.44,403.57
103,1,Coastal,2018-04-13,879.449,0.0,60.91,439.724
104,1,Coastal,2018-04-14,1013.597,0.0,69.66,506.798
105,1,Coastal,2018-04-15,1029.098,0.0,70.09,514.549
106,1,Coastal,2018-04-16,1010.922,0.0,70.31,505.461
107,1,Coastal,2018-04-17,987.763,0.0,68.14,493.882
108,1,Coastal,2018-04-18,1033.523,0.0,66.29,516.761
109,1,Coastal,2018-04-19,941.176,0.0,62.15,470.588
110,1,Coastal,2018-04-20,1208.361,0.0,70.97,604.18
111,1,Coastal,2018-04-21,900.976,0.0,71.14,450.488
