RecordID,PlantID,MonthStart,OperationalCostUSD,RevenueUSD,SubsidyUSD,NetProfitUSD
1,1,2018-01-01,296566.06,632218.03,0.0,335651.97
2,1,2018-02-01,119831.42,1041285.05,156192.76,1077646.39
3,1,2018-03-01,152048.15,1125683.28,0.0,973635.13
4,1,2018-04-01,313707.0,1847227.66,0.0,1533520.66
5,1,2018-05-01,376788.42,2045737.7,0.0,1668949.28
6,1,2018-06-01,332455.57,734552.07,36727.6,438824.1
7,1,2018-07-01,112961.35,537015.38,53701.54,477755.57
8,1,2018-08-01,65548.22,495916.15,0.0,430367.93
9,1,2018-09-01,42648.13,162886.39,8144.32,128382.58
10,1,2018-10-01,43777.62,200157.37,20015.74,176395.49
11,1,2018-11-01,83329.09,293030.83,0.0,209701.74
12,1,2018-12-01,173422.53,590585.33,59058.53,476221.33
13,1,2019-01-01,132438.97,953570.04,95357.0,916488.07
14,1,2019-02-01,318075.49,1556273.78,233441.07,1471639.36
15,1,2019-03-01,275262.97,1531016.01,0.0,1255753.04
16,1,2019-04-01,345579.05,1338975.75,0.0,993396.7
17,1,2019-05-01,397291.72,1544066.29,154406.63,1301181.2
18,1,2019-06-01,222939.13,1068672.34,0.0,845733.21
19,1,2019-07-01,177280.37,564031.28,0.0,386750.91
20,1,2019-08-01,84679.13,233104.33,0.0,148425.2
21,1,2019-09-01,37316.51,174529.99,8726.5,145939.98
22,1,2019-10-01,51461.44,344512.6,51676.89,344728.05
23,1,2019-11-01,87295.42,208072.77,31210.92,151988.27
24,1,2019-12-01,188733.46,682242.85,68224.29,561733.68
25,1,2020-01-01,333738.67,609222.08,0.0,275483.41
26,1,2020-02-01,335186.47,1495663.91,74783.2,1235260.64
27,1,2020-03-01,415572.07,1917490.6,287623.59,1789542.12
28,1,2020-04-01,519588.61,1651425.06,247713.76,1379550.21
29,1,2020-05-01,389302.6,1162549.92,0.0,773247.32
30,1,2020-06-01,287719.64,1126203.72,168930.56,1007414.64
31,1,2020-07-01,87424.2,768849.45,76884.94,758310.19
32,1,2020-08-01,54966.52,304158.26,45623.74,294815.48
33,1,2020-09-01,49052.94,190030.74,19003.07,159980.87
34,1,2020-10-01,82959.48,134072.44,0.0,51112.96
35,1,2020-11-01,133308.57,365570.48,18278.52,250540.43
36,1,2020-12-01,176499.77,629143.25,31457.16,484100.64
37,1,2021-01-01,137896.24,934512.69,93451.27,890067.72
38,1,2021-02-01,176345.56,881495.71,88149.57,793299.72
39,1,2021-03-01,303658.69,1490850.77,223627.62,1410819.7
40,1,2021-04-01,525749.34,1576298.26,78814.91,1129363.83
41,1,2021-05-01,334971.42,1280127.5,128012.75,1073168.83
42,1,2021-06-01,259034.13,1417057.8,141705.78,1299729.45
43,1,2021-07-01,138491.02,516821.03,51682.1,430012.11
44,1,2021-08-01,138319.6,419716.99,0.0,281397.39
45,1,2021-09-01,58160.28,212758.16,31913.72,186511.6
46,1,2021-10-01,42886.35,345228.21,0.0,302341.86
47,1,2021-11-01,62053.61,293680.82,0.0,231627.21
48,1,2021-12-01,241669.21,431789.43,0.0,190120.22
49,1,2022-01-01,212290.53,1552855.78,155285.58,1495850.83
50,1,2022-02-01,462990.97,754384.52,113157.68,404551.23
51,1,2022-03-01,431945.66,1638520.22,81926.01,1288500.57
52,1,2022-04-01,522422.05,1397283.47,69864.17,944725.59
53,1,2022-05-01,213955.3,839893.87,83989.39,709927.96
54,1,2022-06-01,220277.51,1088765.31,163314.8,1031802.6
55,1,2022-07-01,183933.65,606921.13,30346.06,453333.54
56,1,2022-08-01,131564.69,383278.05,19163.9,270877.26
57,1,2022-09-01,69094.48,147255.68,7362.78,85523.98
58,1,2022-10-01,43653.02,181146.87,9057.34,146551.19
59,1,2022-11-01,108657.05,261404.79,0.0,152747.74
60,1,2022-12-01,141334.7,1041610.68,52080.53,952356.51
61,1,2023-01-01,130385.16,1390465.13,139046.51,1399126.48
62,1,2023-02-01,229873.01,1663570.52,249535.58,1683233.09
63,1,2023-03-01,504533.41,1677963.77,0.0,1173430.36
64,1,2023-04-01,400464.69,1161480.74,58074.04,819090.09
65,1,2023-05-01,428737.09,788994.92,39449.75,399707.58
66,1,2023-06-01,282580.01,560846.3,56084.63,334350.92
67,1,2023-07-01,178516.74,866346.84,86634.68,774464.78
68,1,2023-08-01,131962.16,325291.19,32529.12,225858.15
69,1,2023-09-01,84932.11,236895.58,11844.78,163808.25
70,1,2023-10-01,57379.95,219518.43,10975.92,173114.4
71,1,2023-11-01,110533.03,363975.42,36397.54,289839.93
72,1,2023-12-01,70039.4,464341.55,46434.15,440736.3
73,1,2024-01-01,128235.57,1102326.8,165349.02,1139440.25
74,1,2024-02-01,217959.64,1136075.99,170411.4,1088527.75
75,1,2024-03-01,501357.23,1101866.41,55093.32,655602.5
76,1,2024-04-01,421244.18,819856.31,122978.45,521590.58
77,1,2024-05-01,427942.07,825277.74,41263.89,438599.56
78,1,2024-06-01,260131.43,685349.03,68534.9,493752.5
79,1,2024-07-01,89873.28,381889.51,19094.48,311110.71
80,1,2024-08-01,122338.05,421422.06,0.0,299084.01
81,1,2024-09-01,54227.65,224001.84,0.0,169774.19
82,1,2024-10-01,61202.22,318948.75,15947.44,273693.97
83,1,2024-11-01,44730.49,382685.99,57402.9,395358.4
84,1,2024-12-01,180265.52,869486.17,0.0,689220.65
85,2,2018-01-01,362426.37,2426841.13,0.0,2064414.76
86,2,2018-02-01,1067867.34,2880344.76,288034.48,2100511.9
87,2,2018-03-01,1036269.49,4186927.99,628039.2,3778697.7
88,2,2018-04-01,753053.96,3300147.87,330014.79,2877108.7
89,2,2018-05-01,1135797.41,4611303.76,0.0,3475506.35
90,2,2018-06-01,556670.79,3201354.03,480203.1,3124886.34
91,2,2018-07-01,203530.65,990420.81,49521.04,836411.2
92,2,2018-08-01,221697.38,1158766.86,57938.34,995007.82
93,2,2018-09-01,192278.25,585459.56,58545.96,451727.27
94,2,2018-10-01,88456.08,315725.97,0.0,227269.89
95,2,2018-11-01,233124.55,919452.79,137917.92,824246.16
96,2,2018-12-01,240355.56,1204165.79,180624.87,1144435.1
97,2,2019-01-01,341318.18,2793681.64,279368.16,2731731.62
98,2,2019-02-01,1084472.47,3927834.07,0.0,2843361.6
99,2,2019-03-01,977359.05,3848099.06,192404.95,3063144.96
100,2,2019-04-01,386837.96,2172041.33,217204.13,2002407.5
101,2,2019-05-01,579303.72,3853968.67,192698.43,3467363.38
102,2,2019-06-01,627333.44,1650582.23,247587.33,1270836.12
103,2,2019-07-01,436573.14,2147746.77,322162.02,2033335.65
104,2,2019-08-01,126629.66,751875.12,112781.27,738026.73
105,2,2019-09-01,86496.25,590881.6,59088.16,563473.51
106,2,2019-10-01,191072.01,533697.39,0.0,342625.38
107,2,2019-11-01,320369.49,1179549.54,58977.48,918157.53
108,2,2019-12-01,626598.87,1117971.89,167695.78,659068.8
109,2,2020-01-01,649446.07,1943401.55,291510.23,1585465.71
