MaintenanceID,PlantID,StartDate,EndDate,MaintenanceType,DowntimeHours,CostUSD
1,1,2019-03-03,2019-03-11,Corrective,191.88,338354.17
2,1,2023-08-04,2023-08-14,Scheduled,172.85,331239.05
3,1,2024-05-16,2024-05-30,Preventive,223.21,423510.63
4,1,2020-03-08,2020-03-21,Preventive,174.08,585556.5
5,1,2021-09-12,2021-09-14,Scheduled,47.58,101292.01
6,1,2018-03-22,2018-03-27,Scheduled,82.36,338188.63
7,2,2018-07-07,2018-07-10,Preventive,38.97,160595.36
8,2,2021-04-18,2021-04-30,Corrective,264.79,392164.6
9,2,2021-11-12,2021-11-19,Corrective,88.35,378461.2
10,2,2019-02-10,2019-02-16,Scheduled,122.95,138204.02
11,3,2023-06-07,2023-06-12,Scheduled,90.9,414901.6
12,3,2019-09-03,2019-09-10,Scheduled,96.16,117401.23
13,3,2019-08-10,2019-08-11,Preventive,20.61,85633.23
14,3,2019-03-17,2019-03-23,Preventive,101.13,447464.37
15,3,2018-07-16,2018-07-24,Scheduled,184.58,758809.01
16,3,2023-04-17,2023-04-27,Corrective,205.47,610155.68
17,3,2023-03-10,2023-03-12,Scheduled,42.15,115199.49
18,3,2024-09-22,2024-10-05,Corrective,177.95,189135.21
19,3,2018-04-22,2018-04-29,Scheduled,123.16,331947.81
20,3,2023-10-10,2023-10-18,Scheduled,157.76,525530.47
21,4,2024-08-11,2024-08-23,Preventive,266.63,969323.98
22,4,2019-05-05,2019-05-16,Corrective,146.31,150985.17
23,4,2024-04-03,2024-04-05,Corrective,36.3,47673.57
24,4,2020-07-23,2020-07-29,Corrective,77.11,267967.33
25,4,2024-08-17,2024-08-29,Preventive,243.71,643247.5
26,4,2019-03-29,2019-04-06,Corrective,130.61,641193.77
27,4,2018-12-18,2018-12-27,Scheduled,203.72,871894.34
28,4,2023-03-22,2023-04-05,Corrective,332.25,891698.09
29,4,2023-01-20,2023-01-22,Preventive,46.85,110811.04
30,4,2018-08-15,2018-08-23,Corrective,147.92,487359.26
31,4,2024-11-01,2024-11-03,Scheduled,35.49,111524.64
32,4,2022-09-13,2022-09-18,Preventive,107.05,516663.88
33,4,2021-01-09,2021-01-20,Corrective,172.51,361983.8
34,5,2020-01-20,2020-01-29,Scheduled,144.17,707438.17
35,5,2021-07-05,2021-07-15,Scheduled,235.2,288323.31
36,5,2023-02-14,2023-02-22,Preventive,142.9,616926.16
37,5,2022-03-28,2022-04-09,Scheduled,179.57,531416.95
38,5,2018-01-05,2018-01-19,Preventive,307.13,930668.39
39,5,2024-01-17,2024-01-24,Scheduled,100.96,125593.48
40,5,2023-03-31,2023-04-12,Preventive,223.71,836593.71
41,5,2021-09-09,2021-09-14,Preventive,86.7,123303.35
42,5,2019-06-26,2019-07-03,Scheduled,133.15,412784.96
43,6,2023-02-24,2023-03-07,Preventive,149.61,491973.92
44,6,2022-12-28,2023-01-04,Preventive,164.07,675623.4
45,6,2020-06-16,2020-06-21,Scheduled,89.67,320517.1
46,6,2022-04-12,2022-04-13,Preventive,14.66,15966.02
47,6,2023-12-25,2024-01-01,Preventive,105.93,189536.89
48,6,2019-05-21,2019-05-27,Corrective,79.65,380632.24
49,6,2022-05-19,2022-05-25,Preventive,84.99,240007.48
50,6,2018-02-08,2018-02-15,Scheduled,105.83,284962.6
51,6,2022-11-22,2022-11-28,Corrective,98.36,196792.41
52,7,2021-03-07,2021-03-10,Scheduled,61.7,292745.83
53,7,2018-12-10,2018-12-21,Preventive,160.38,444270.44
54,7,2024-07-16,2024-07-24,Preventive,136.73,335328.44
55,7,2023-07-24,2023-07-26,Preventive,43.76,166772.3
