SnapshotID,Region,SnapshotDate,AvgTemperature,SolarRadiation,WindSpeed,RainfallMM
1,North,2018-01-01,17.39,603.05,7.14,0.0
2,North,2018-01-02,20.62,598.04,8.8,0.03
3,North,2018-01-03,18.84,465.43,9.55,0.38
4,North,2018-01-04,19.63,415.1,7.38,0.23
5,North,2018-01-05,19.18,509.55,9.35,0.06
6,North,2018-01-06,24.26,466.93,8.17,0.23
7,North,2018-01-07,20.7,530.98,7.8,0.31
8,North,2018-01-08,18.78,640.18,7.66,0.07
9,North,2018-01-09,22.71,509.71,9.1,0.01
10,North,2018-01-10,18.8,547.96,8.46,0.54
11,North,2018-01-11,21.82,561.11,11.38,0.08
12,North,2018-01-12,17.66,629.41,6.68,0.02
13,North,2018-01-13,19.09,386.83,8.73,0.14
14,North,2018-01-14,22.3,523.07,7.15,0.29
15,North,2018-01-15,23.55,593.51,6.63,0.05
16,North,2018-01-16,22.59,677.59,7.91,0.06
17,North,2018-01-17,22.18,547.19,8.12,0.06
18,North,2018-01-18,21.97,441.35,12.28,0.96
19,North,2018-01-19,19.78,645.96,7.62,0.04
20,North,2018-01-20,21.46,550.43,6.19,0.17
21,North,2018-01-21,22.14,510.93,8.28,0.52
22,North,2018-01-22,25.34,560.97,4.75,0.16
23,North,2018-01-23,24.07,600.94,7.71,0.71
24,North,2018-01-24,20.01,572.07,7.86,0.59
25,North,2018-01-25,24.34,448.71,9.01,0.43
26,North,2018-01-26,23.08,701.6,9.26,0.05
27,North,2018-01-27,22.65,736.46,7.03,0.2
28,North,2018-01-28,25.38,691.19,7.55,0.29
29,North,2018-01-29,26.37,552.61,6.61,0.85
30,North,2018-01-30,26.32,632.01,6.05,0.04
31,North,2018-01-31,22.93,652.08,8.19,0.29
32,North,2018-02-01,24.14,704.93,5.79,0.08
33,North,2018-02-02,25.57,714.87,7.06,0.04
34,North,2018-02-03,27.0,607.0,6.17,0.11
35,North,2018-02-04,24.23,676.57,8.47,0.32
36,North,2018-02-05,24.96,710.82,10.33,0.13
37,North,2018-02-06,23.26,794.88,5.66,0.15
38,North,2018-02-07,23.22,738.9,4.81,1.07
39,North,2018-02-08,27.37,749.74,7.38,0.1
40,North,2018-02-09,28.59,697.34,7.57,0.19
41,North,2018-02-10,25.87,807.43,7.85,0.09
42,North,2018-02-11,28.15,731.27,6.83,0.1
43,North,2018-02-12,26.99,633.45,7.18,0.24
44,North,2018-02-13,25.1,818.39,8.0,0.56
45,North,2018-02-14,27.24,765.67,8.99,0.16
46,North,2018-02-15,29.72,678.05,4.47,0.29
47,North,2018-02-16,26.69,678.73,6.83,0.02
48,North,2018-02-17,30.01,744.35,7.68,0.05
49,North,2018-02-18,21.75,761.15,5.95,0.14
50,North,2018-02-19,28.75,743.28,9.9,0.0
51,North,2018-02-20,27.39,755.73,6.32,0.06
52,North,2018-02-21,26.73,870.09,7.19,0.73
53,North,2018-02-22,27.62,823.01,8.06,0.0
54,North,2018-02-23,23.56,755.66,6.31,0.06
55,North,2018-02-24,27.2,818.77,4.4,0.14
56,North,2018-02-25,28.45,663.84,6.5,0.17
57,North,2018-02-26,30.79,781.19,8.66,0.52
58,North,2018-02-27,26.89,896.93,6.58,0.21
59,North,2018-02-28,26.41,737.5,5.78,0.11
60,North,2018-03-01,27.11,689.82,8.41,0.53
61,North,2018-03-02,30.03,708.07,6.5,0.31
62,North,2018-03-03,28.94,675.6,6.2,0.04
63,North,2018-03-04,27.31,702.44,7.16,0.03
64,North,2018-03-05,29.47,737.95,8.06,0.23
65,North,2018-03-06,28.71,657.44,10.45,0.16
66,North,2018-03-07,30.53,773.35,8.08,0.31
67,North,2018-03-08,27.26,846.42,8.55,1.34
68,North,2018-03-09,28.08,703.67,6.02,0.2
69,North,2018-03-10,28.02,899.81,5.21,0.86
70,North,2018-03-11,25.94,821.01,6.81,0.15
71,North,2018-03-12,29.51,864.4,6.84,0.02
72,North,2018-03-13,29.5,731.05,5.03,0.35
73,North,2018-03-14,29.04,853.68,6.36,0.06
74,North,2018-03-15,28.62,699.52,7.18,1.5
75,North,2018-03-16,26.3,859.56,7.09,0.63
76,North,2018-03-17,28.34,803.47,7.28,0.24
77,North,2018-03-18,28.54,835.28,6.92,0.18
78,North,2018-03-19,27.66,698.18,5.69,0.12
79,North,2018-03-20,28.98,721.75,5.65,0.09
80,North,2018-03-21,30.15,842.17,4.59,0.44
81,North,2018-03-22,33.14,719.47,9.03,0.2
82,North,2018-03-23,29.75,833.26,6.34,0.28
83,North,2018-03-24,29.94,687.61,5.95,0.23
84,North,2018-03-25,29.3,865.52,4.86,0.04
85,North,2018-03-26,25.63,699.66,10.62,0.14
86,North,2018-03-27,29.43,842.96,4.57,0.31
87,North,2018-03-28,29.62,849.25,5.5,0.13
88,North,2018-03-29,34.43,743.79,6.74,0.15
89,North,2018-03-30,29.13,846.34,6.98,0.29
90,North,2018-03-31,30.12,820.77,7.48,0.22
91,North,2018-04-01,29.45,756.89,8.72,0.11
92,North,2018-04-02,27.19,719.29,6.73,0.45
93,North,2018-04-03,31.81,642.85,4.36,0.04
94,North,2018-04-04,31.02,827.64,5.52,1.08
95,North,2018-04-05,31.09,674.19,6.33,0.03
96,North,2018-04-06,27.67,806.63,8.94,0.0
97,North,2018-04-07,32.28,777.46,3.71,0.44
98,North,2018-04-08,26.65,852.31,7.57,0.06
99,North,2018-04-09,30.61,773.17,6.0,0.26
100,North,2018-04-10,33.79,770.25,6.96,0.33
101,North,2018-04-11,27.4,854.33,5.51,0.39
102,North,2018-04-12,28.22,821.68,4.37,0.96
103,North,2018-04-13,29.52,819.18,6.72,0.07
104,North,2018-04-14,28.28,830.34,6.55,0.25
105,North,2018-04-15,26.14,668.79,6.99,0.02
106,North,2018-04-16,29.34,850.92,5.48,0.1
107,North,2018-04-17,27.03,838.04,4.56,0.38
108,North,2018-04-18,30.06,706.28,3.09,0.09
109,North,2018-04-19,27.22,766.58,6.63,0.89
110,North,2018-04-20,32.11,781.36,6.0,0.7
111,North,2018-04-21,27.39,772.07,3.88,0.21
112,North,2018-04-22,28.25,807.77,4.49,0.72
113,North,2018-04-23,30.46,893.73,4.57,0.01
114,North,2018-04-24,26.31,863.83,3.01,0.17
115,North,2018-04-25,29.15,670.3,3.98,0.4
116,North,2018-04-26,31.24,822.95,3.47,0.13
117,North,2018-04-27,25.34,877.32,4.52,0.02
118,North,2018-04-28,28.85,799.7,4.0,0.16
119,North,2018-04-29,28.92,853.7,2.64,0.08
120,North,2018-04-30,29.89,924.99,8.08,0.03
121,North,2018-05-01,25.77,843.41,6.9,0.38
122,North,2018-05-02,25.51,778.89,3.82,0.15
123,North,2018-05-03,29.11,839.9,5.37,0.54
124,North,2018-05-04,28.57,765.17,5.56,0.33
125,North,2018-05-05,28.38,752.69,6.69,0.24
126,North,2018-05-06,28.48,719.79,3.65,0.0
127,North,2018-05-07,26.33,870.03,6.48,0.11
128,North,2018-05-08,28.05,676.47,4.0,0.04
129,North,2018-05-09,28.07,861.44,2.79,0.48
130,North,2018-05-10,25.95,775.68,5.85,0.04
131,North,2018-05-11,31.0,620.52,6.67,0.07
132,North,2018-05-12,28.11,758.58,8.59,0.15
133,North,2018-05-13,24.67,557.8,2.88,0.06
134,North,2018-05-14,28.25,772.41,5.71,0.05
135,North,2018-05-15,24.87,789.69,4.02,0.91
136,North,2018-05-16,28.27,667.91,5.78,0.02
137,North,2018-05-17,28.9,721.56,2.38,0.01
138,North,2018-05-18,24.82,864.32,2.66,0.09
139,North,2018-05-19,28.26,663.77,3.37,0.26
140,North,2018-05-20,27.03,615.71,4.63,0.16
141,North,2018-05-21,27.72,815.08,3.53,0.11
142,North,2018-05-22,29.74,849.62,5.46,0.17
143,North,2018-05-23,25.32,688.92,5.99,0.09
144,North,2018-05-24,24.17,765.5,5.32,0.55
145,North,2018-05-25,23.76,787.81,6.83,0.01
146,North,2018-05-26,23.77,616.94,5.01,0.22
147,North,2018-05-27,25.11,633.31,2.54,0.44
148,North,2018-05-28,25.8,766.35,6.39,0.33
149,North,2018-05-29,25.53,798.37,3.42,0.2
150,North,2018-05-30,26.49,704.25,5.67,0.07
151,North,2018-05-31,24.71,584.43,6.65,0.25
152,North,2018-06-01,27.44,809.34,4.95,0.02
153,North,2018-06-02,23.86,603.4,2.01,0.33
154,North,2018-06-03,29.68,614.54,2.86,0.25
155,North,2018-06-04,25.33,664.16,6.2,0.26
156,North,2018-06-05,22.21,756.49,3.95,0.11
157,North,2018-06-06,21.63,695.82,4.31,0.25
158,North,2018-06-07,24.58,656.0,5.31,0.23
159,North,2018-06-08,23.01,655.14,5.21,0.36
160,North,2018-06-09,24.73,616.79,4.57,0.01
161,North,2018-06-10,24.09,653.17,3.82,0.0
162,North,2018-06-11,22.83,401.32,3.65,0.09
163,North,2018-06-12,21.12,575.09,5.4,0.03
164,North,2018-06-13,19.63,613.24,4.93,0.16
165,North,2018-06-14,21.6,496.93,3.7,0.5
166,North,2018-06-15,24.04,614.98,5.7,0.1
167,North,2018-06-16,22.59,562.74,3.88,0.37
168,North,2018-06-17,19.5,714.54,2.78,0.0
169,North,2018-06-18,22.17,694.93,2.92,0.04
170,North,2018-06-19,22.43,526.79,2.58,0.01
171,North,2018-06-20,19.72,546.93,3.63,0.08
172,North,2018-06-21,21.63,548.01,5.88,0.48
173,North,2018-06-22,21.27,512.71,2.82,0.02
174,North,2018-06-23,18.7,559.34,4.3,0.19
175,North,2018-06-24,21.53,477.96,3.03,0.12
176,North,2018-06-25,21.76,443.05,3.62,0.56
177,North,2018-06-26,22.64,578.18,1.74,0.03
178,North,2018-06-27,22.41,573.58,3.68,0.05
179,North,2018-06-28,17.37,453.72,3.71,0.01
180,North,2018-06-29,18.08,584.54,4.81,0.11
181,North,2018-06-30,20.81,457.22,4.34,0.07
182,North,2018-07-01,20.64,522.84,2.2,0.41
183,North,2018-07-02,20.47,563.05,5.63,0.93
184,North,2018-07-03,26.97,489.57,4.32,0.19
185,North,2018-07-04,20.24,523.47,4.3,0.15
186,North,2018-07-05,21.19,440.62,3.99,0.02
187,North,2018-07-06,20.66,461.07,3.23,0.59
188,North,2018-07-07,19.88,455.17,4.34,1.52
189,North,2018-07-08,17.78,406.78,4.73,0.36
190,North,2018-07-09,19.75,447.23,1.4,0.45
191,North,2018-07-10,16.52,332.37,3.21,1.73
192,North,2018-07-11,17.42,411.87,3.64,0.02
193,North,2018-07-12,16.76,423.28,4.42,0.05
194,North,2018-07-13,17.72,420.5,5.83,0.0
195,North,2018-07-14,22.02,416.62,2.89,0.07
196,North,2018-07-15,13.49,425.97,3.31,0.02
197,North,2018-07-16,18.43,464.25,3.29,0.13
198,North,2018-07-17,13.66,490.86,2.87,1.13
199,North,2018-07-18,15.78,363.95,3.56,0.42
200,North,2018-07-19,18.73,314.73,5.25,0.28
201,North,2018-07-20,16.52,322.7,2.52,0.56
202,North,2018-07-21,14.07,362.2,4.75,0.01
203,North,2018-07-22,14.64,368.16,1.57,0.0
204,North,2018-07-23,17.27,329.89,3.29,0.22
205,North,2018-07-24,14.29,283.0,3.65,0.34
206,North,2018-07-25,16.02,345.43,6.67,0.06
207,North,2018-07-26,15.52,391.71,3.76,0.08
208,North,2018-07-27,13.97,420.1,0.89,0.06
209,North,2018-07-28,19.41,323.25,1.21,0.14
210,North,2018-07-29,16.23,330.19,4.27,0.12
211,North,2018-07-30,10.76,284.52,5.16,0.14
212,North,2018-07-31,15.03,351.6,4.82,0.22
213,North,2018-08-01,13.19,281.75,4.52,0.1
214,North,2018-08-02,16.07,391.03,6.03,0.06
215,North,2018-08-03,12.63,197.91,3.5,0.04
216,North,2018-08-04,13.84,307.66,5.67,0.09
217,North,2018-08-05,14.94,356.21,1.89,0.27
218,North,2018-08-06,15.52,342.58,3.0,0.28
219,North,2018-08-07,11.25,539.11,1.67,0.22
220,North,2018-08-08,12.84,347.5,3.99,0.05
221,North,2018-08-09,12.42,235.09,4.35,0.18
222,North,2018-08-10,11.93,303.73,4.62,0.17
223,North,2018-08-11,16.63,165.28,4.56,0.13
224,North,2018-08-12,13.78,297.01,3.1,0.8
225,North,2018-08-13,10.32,232.94,4.23,0.14
226,North,2018-08-14,14.55,369.0,2.29,0.17
227,North,2018-08-15,16.84,248.05,6.6,0.25
228,North,2018-08-16,14.53,278.98,4.13,0.12
229,North,2018-08-17,9.31,233.85,3.87,0.28
230,North,2018-08-18,11.26,420.24,7.02,0.15
231,North,2018-08-19,14.65,251.93,2.79,0.07
232,North,2018-08-20,10.58,420.8,2.99,0.75
233,North,2018-08-21,12.77,335.97,3.06,0.63
234,North,2018-08-22,13.32,306.1,4.63,0.01
235,North,2018-08-23,9.81,293.8,5.41,0.12
236,North,2018-08-24,11.44,292.65,5.9,0.21
237,North,2018-08-25,4.98,103.84,8.68,0.13
238,North,2018-08-26,9.31,232.73,1.47,0.35
239,North,2018-08-27,10.76,319.71,5.79,0.6
240,North,2018-08-28,8.67,245.31,4.07,0.2
241,North,2018-08-29,14.34,134.01,4.05,0.09
242,North,2018-08-30,8.12,239.51,4.03,0.18
243,North,2018-08-31,10.01,377.39,3.63,0.37
244,North,2018-09-01,11.07,338.24,7.55,2.41
245,North,2018-09-02,13.61,231.04,6.31,0.41
246,North,2018-09-03,7.77,309.7,5.12,0.16
247,North,2018-09-04,12.89,201.93,7.14,0.08
248,North,2018-09-05,10.51,92.68,2.87,0.07
249,North,2018-09-06,8.45,152.86,3.18,0.01
250,North,2018-09-07,11.27,349.76,1.94,0.34
251,North,2018-09-08,10.68,200.79,4.19,0.12
252,North,2018-09-09,9.02,201.31,5.51,0.08
253,North,2018-09-10,10.29,194.95,5.45,0.13
254,North,2018-09-11,9.33,369.5,5.56,0.34
255,North,2018-09-12,10.27,345.57,3.25,0.03
256,North,2018-09-13,11.31,391.4,6.6,0.39
257,North,2018-09-14,13.11,199.66,5.79,0.46
258,North,2018-09-15,7.41,234.61,6.56,0.59
259,North,2018-09-16,14.11,88.29,2.66,0.1
260,North,2018-09-17,5.9,326.52,6.0,0.05
261,North,2018-09-18,9.46,113.77,3.78,0.09
262,North,2018-09-19,10.9,223.46,5.0,0.08
263,North,2018-09-20,10.26,117.34,6.43,0.04
264,North,2018-09-21,8.42,157.11,5.8,0.19
265,North,2018-09-22,9.22,136.42,4.42,0.13
266,North,2018-09-23,8.63,154.04,5.74,0.4
267,North,2018-09-24,8.41,158.89,3.47,0.01
268,North,2018-09-25,11.27,157.61,7.53,0.21
269,North,2018-09-26,10.27,267.67,5.53,0.29
270,North,2018-09-27,8.16,112.24,7.55,0.28
271,North,2018-09-28,11.33,217.98,5.12,2.17
272,North,2018-09-29,10.14,297.57,5.15,0.26
273,North,2018-09-30,11.15,158.97,4.83,0.53
274,North,2018-10-01,10.78,142.57,7.32,0.08
275,North,2018-10-02,7.87,181.63,4.98,0.14
276,North,2018-10-03,8.41,294.6,7.04,0.0
277,North,2018-10-04,11.03,216.0,5.54,0.0
278,North,2018-10-05,10.77,158.31,3.18,0.05
279,North,2018-10-06,9.52,239.93,5.33,0.02
280,North,2018-10-07,9.82,113.55,4.45,0.3
281,North,2018-10-08,12.16,256.84,6.3,0.04
282,North,2018-10-09,8.44,235.71,4.5,0.01
283,North,2018-10-10,10.74,179.17,7.71,0.48
284,North,2018-10-11,9.27,137.57,6.21,0.0
285,North,2018-10-12,9.28,134.67,6.12,0.27
286,North,2018-10-13,11.94,249.43,7.4,0.03
287,North,2018-10-14,11.43,306.09,7.9,0.49
288,North,2018-10-15,11.45,158.0,6.46,0.45
289,North,2018-10-16,12.48,246.95,5.36,0.21
290,North,2018-10-17,9.95,44.7,3.89,0.22
291,North,2018-10-18,11.33,166.36,5.56,0.0
292,North,2018-10-19,9.39,212.2,5.69,0.84
293,North,2018-10-20,10.72,143.55,6.81,0.42
294,North,2018-10-21,9.87,143.12,6.17,0.45
295,North,2018-10-22,10.38,166.43,7.75,0.22
296,North,2018-10-23,11.44,245.11,5.83,0.08
297,North,2018-10-24,8.68,208.72,6.69,0.45
298,North,2018-10-25,14.57,46.7,8.59,0.34
299,North,2018-10-26,8.44,58.24,7.35,0.83
300,North,2018-10-27,8.1,181.56,6.78,0.02
301,North,2018-10-28,12.92,269.02,6.0,0.51
302,North,2018-10-29,12.27,14.98,5.98,0.03
303,North,2018-10-30,12.01,197.25,5.69,0.05
