RecordDate,charge,discharge,soc,import
2024-12-02,0.0,50.0,47.368421,4167.3751
2024-12-03,0.0,26.0,20.0,3393.5595
2024-12-04,0.0,0.0,20.0,3874.9201
2024-12-05,0.0,0.0,20.0,6062.9551
2024-12-06,0.0,0.0,20.0,3191.4791
2024-12-07,0.0,0.0,20.0,4529.2588
2024-12-08,0.0,0.0,20.0,4510.2825
2024-12-09,0.0,0.0,20.0,4248.5631
2024-12-10,0.0,0.0,20.0,3107.1171
2024-12-11,0.0,0.0,20.0,3236.4634
2024-12-12,0.0,0.0,20.0,3479.8219
2024-12-13,0.0,0.0,20.0,2724.8892
2024-12-14,0.0,0.0,20.0,3932.2894
2024-12-15,0.0,0.0,20.0,4276.1083
2024-12-16,0.0,0.0,20.0,3323.4519
2024-12-17,0.0,0.0,20.0,4448.5121
2024-12-18,0.0,0.0,20.0,3983.361
2024-12-19,0.0,0.0,20.0,3800.331
2024-12-20,0.0,0.0,20.0,2177.2356
2024-12-21,0.0,0.0,20.0,2938.934
2024-12-22,0.0,0.0,20.0,3158.8547
2024-12-23,0.0,0.0,20.0,4812.106
2024-12-24,0.0,0.0,20.0,4676.0187
2024-12-25,0.0,0.0,20.0,3224.2803
2024-12-26,0.0,0.0,20.0,3652.3442
2024-12-27,0.0,0.0,20.0,2631.1473
2024-12-28,0.0,0.0,20.0,3594.095
2024-12-29,0.0,0.0,20.0,4129.639
2024-12-30,0.0,0.0,20.0,4325.0777
2024-12-31,0.0,0.0,20.0,3911.021
