RecordDate,charge,discharge,soc,import
2024-12-02,0.0,50.0,47.368421,4776.792
2024-12-03,0.0,26.0,20.0,3888.984
2024-12-04,0.0,0.0,20.0,4460.7189
2024-12-05,0.0,0.0,20.0,6838.0018
2024-12-06,0.0,0.0,20.0,3718.3858
2024-12-07,0.0,0.0,20.0,5160.7823
2024-12-08,0.0,0.0,20.0,5120.3506
2024-12-09,0.0,0.0,20.0,4916.223
2024-12-10,0.0,0.0,20.0,3590.481
2024-12-11,0.0,0.0,20.0,3747.811
2024-12-12,0.0,0.0,20.0,4027.8538
2024-12-13,0.0,0.0,20.0,3260.8678
2024-12-14,0.0,0.0,20.0,4530.5914
2024-12-15,0.0,0.0,20.0,4896.8592
2024-12-16,0.0,0.0,20.0,3849.1984
2024-12-17,0.0,0.0,20.0,5073.2709
2024-12-18,0.0,0.0,20.0,4579.7707
2024-12-19,0.0,0.0,20.0,4353.4717
2024-12-20,0.0,0.0,20.0,2666.7686
2024-12-21,0.0,0.0,20.0,3472.2457
2024-12-22,0.0,0.0,20.0,3722.9356
2024-12-23,0.0,0.0,20.0,5475.1678
2024-12-24,0.0,0.0,20.0,5343.1389
2024-12-25,0.0,0.0,20.0,3784.5362
2024-12-26,0.0,0.0,20.0,4244.1846
2024-12-27,0.0,0.0,20.0,3168.2787
2024-12-28,0.0,0.0,20.0,4137.0521
2024-12-29,0.0,0.0,20.0,4727.4195
2024-12-30,0.0,0.0,20.0,4954.3968
2024-12-31,0.0,0.0,20.0,4568.7905
