RecordDate,charge,discharge,soc,import
2024-12-02,0.0,50.0,47.368421,4543.2339
2024-12-03,0.0,26.0,20.0,3700.7566
2024-12-04,0.0,0.0,20.0,4271.5337
2024-12-05,0.0,0.0,20.0,6400.4575
2024-12-06,0.0,0.0,20.0,3606.9967
2024-12-07,0.0,0.0,20.0,4886.4541
2024-12-08,0.0,0.0,20.0,4828.3622
2024-12-09,0.0,0.0,20.0,4734.1704
2024-12-10,0.0,0.0,20.0,3452.4215
2024-12-11,0.0,0.0,20.0,3611.866
2024-12-12,0.0,0.0,20.0,3879.9214
2024-12-13,0.0,0.0,20.0,3251.8687
2024-12-14,0.0,0.0,20.0,4342.4355
2024-12-15,0.0,0.0,20.0,4662.3885
2024-12-16,0.0,0.0,20.0,3710.2545
2024-12-17,0.0,0.0,20.0,4808.3273
2024-12-18,0.0,0.0,20.0,4379.5083
2024-12-19,0.0,0.0,20.0,4146.5461
2024-12-20,0.0,0.0,20.0,2720.8546
2024-12-21,0.0,0.0,20.0,3417.7706
2024-12-22,0.0,0.0,20.0,3655.2455
2024-12-23,0.0,0.0,20.0,5175.8084
2024-12-24,0.0,0.0,20.0,5075.0554
2024-12-25,0.0,0.0,20.0,3699.936
2024-12-26,0.0,0.0,20.0,4105.5561
2024-12-27,0.0,0.0,20.0,3179.1805
2024-12-28,0.0,0.0,20.0,3961.1902
2024-12-29,0.0,0.0,20.0,4499.2723
2024-12-30,0.0,0.0,20.0,4718.7004
2024-12-31,0.0,0.0,20.0,4444.3559
