RecordDate,charge,discharge,soc,import
2024-12-02,0.0,50.0,47.368421,3979.4456
2024-12-03,0.0,26.0,20.0,3239.961
2024-12-04,0.0,0.0,20.0,3676.6134
2024-12-05,0.0,0.0,20.0,5894.2039
2024-12-06,0.0,0.0,20.0,2983.7203
2024-12-07,0.0,0.0,20.0,4350.6611
2024-12-08,0.0,0.0,20.0,4351.2427
2024-12-09,0.0,0.0,20.0,4005.7595
2024-12-10,0.0,0.0,20.0,2934.465
2024-12-11,0.0,0.0,20.0,3048.7621
2024-12-12,0.0,0.0,20.0,3279.7721
2024-12-13,0.0,0.0,20.0,2461.3994
2024-12-14,0.0,0.0,20.0,3727.2164
2024-12-15,0.0,0.0,20.0,4082.9682
2024-12-16,0.0,0.0,20.0,3130.0506
2024-12-17,0.0,0.0,20.0,4268.6045
2024-12-18,0.0,0.0,20.0,3785.2873
2024-12-19,0.0,0.0,20.0,3627.2235
2024-12-20,0.0,0.0,20.0,1905.4261
2024-12-21,0.0,0.0,20.0,2699.5157
2024-12-22,0.0,0.0,20.0,2910.6592
2024-12-23,0.0,0.0,20.0,4630.2548
2024-12-24,0.0,0.0,20.0,4476.5003
2024-12-25,0.0,0.0,20.0,2986.4524
2024-12-26,0.0,0.0,20.0,3425.7382
2024-12-27,0.0,0.0,20.0,2357.1307
2024-12-28,0.0,0.0,20.0,3410.5474
2024-12-29,0.0,0.0,20.0,3944.8224
2024-12-30,0.0,0.0,20.0,4128.2664
2024-12-31,0.0,0.0,20.0,3644.3536
