run,total_import,total_charge,total_discharge,avg_soc
0,121330.0011,0.0,76.0,20.9122807
1,115454.6472,0.0,76.0,20.9122807
2,102849.1378,0.0,76.0,20.9122807
3,116204.36230000001,0.0,76.0,20.9122807
4,117587.87190000001,0.0,76.0,20.9122807
5,117389.1414,0.0,76.0,20.9122807
6,108532.2857,0.0,76.0,20.9122807
7,121864.64799999999,0.0,76.0,20.9122807
8,121490.7723,0.0,76.0,20.9122807
9,121469.4072,0.0,76.0,20.9122807
10,115264.3211,0.0,76.0,20.9122807
11,125002.72270000001,0.0,76.0,20.9122807
12,111505.76650000001,0.0,76.0,20.9122807
13,116383.06529999999,0.0,76.0,20.9122807
14,115011.81290000003,0.0,76.0,20.9122807
15,134304.6599,0.0,76.0,20.9122807
16,113050.3928,0.0,76.0,20.9122807
17,113345.09079999999,0.0,76.0,20.9122807
18,116672.5396,0.0,76.0,20.9122807
19,103079.6807,0.0,76.0,20.9122807
20,117354.58989999998,0.0,76.0,20.9122807
21,106540.24419999999,0.0,76.0,20.9122807
22,113464.2385,0.0,76.0,20.9122807
23,120056.7707,0.0,76.0,20.9122807
24,119139.6601,0.0,76.0,20.9122807
25,112937.883,0.0,76.0,20.9122807
26,102325.76530000001,0.0,76.0,20.9122807
27,112553.55799999998,0.0,76.0,20.9122807
28,103724.96810000001,0.0,76.0,20.9122807
29,101147.93770000001,0.0,76.0,20.9122807
30,100422.09920000001,0.0,76.0,20.9122807
31,112052.6459,0.0,76.0,20.9122807
32,115837.96,0.0,76.0,20.9122807
33,112748.069,0.0,76.0,20.9122807
34,121988.25849999998,0.0,76.0,20.9122807
35,107935.61069999998,0.0,76.0,20.9122807
36,103004.966,0.0,76.0,20.9122807
37,111359.42270000001,0.0,76.0,20.9122807
38,108992.6843,0.0,76.0,20.9122807
39,120534.0325,0.0,76.0,20.9122807
40,120795.63579999999,0.0,76.0,20.9122807
41,112224.2515,0.0,76.0,20.9122807
42,100632.22619999999,0.0,76.0,20.9122807
43,109344.56419999998,0.0,76.0,20.9122807
44,115530.485,0.0,76.0,20.9122807
45,119841.3458,0.0,76.0,20.9122807
46,110204.24409999998,0.0,76.0,20.9122807
47,105876.8882,0.0,76.0,20.9122807
48,106851.467,0.0,76.0,20.9122807
49,121498.9617,0.0,76.0,20.9122807
50,103788.53639999998,0.0,76.0,20.9122807
51,106755.14180000001,0.0,76.0,20.9122807
52,106351.31569999998,0.0,76.0,20.9122807
53,106867.40510000002,0.0,76.0,20.9122807
54,129420.63349999998,0.0,76.0,20.9122807
55,116155.73620000001,0.0,76.0,20.9122807
56,115455.53829999999,0.0,76.0,20.9122807
57,116769.3146,0.0,76.0,20.9122807
58,115453.40509999999,0.0,76.0,20.9122807
59,128746.47249999999,0.0,76.0,20.9122807
60,103663.02709999999,0.0,76.0,20.9122807
61,108736.3766,0.0,76.0,20.9122807
62,119080.05329999999,0.0,76.0,20.9122807
63,132222.1335,0.0,76.0,20.9122807
64,112489.73340000001,0.0,76.0,20.9122807
65,116904.30470000001,0.0,76.0,20.9122807
66,120187.49439999998,0.0,76.0,20.9122807
67,105643.58119999999,0.0,76.0,20.9122807
68,112130.05369999999,0.0,76.0,20.9122807
